,position,team_name,matches_played,won,draw,lost,goals_scored,goals_conceded,goal_difference,points
0,1,Manchester City,38,28,8,2,85.0,34.0,51.0,92
1,2,Liverpool,38,22,12,4,84.0,50.0,34.0,78
2,3,Arsenal,38,23,9,6,76.0,44.0,32.0,78
3,4,Newcastle Utd,38,22,9,7,73.0,39.0,34.0,75
4,5,Tottenham,38,20,15,3,70.0,48.0,22.0,75
5,6,Brighton,38,21,9,8,63.0,48.0,15.0,72
6,7,Manchester Utd,38,17,11,10,67.0,55.0,12.0,62
7,8,Aston Villa,38,16,9,13,51.0,54.0,-3.0,57
8,9,West Ham,38,12,15,11,54.0,53.0,1.0,51
9,10,Leicester City,38,11,14,13,57.0,62.0,-5.0,47
10,11,Chelsea,38,10,14,14,49.0,56.0,-7.0,44
11,12,Brentford,38,8,19,11,55.0,60.0,-5.0,43
12,13,Crystal Palace,38,7,17,14,42.0,48.0,-6.0,38
13,14,Leeds United,38,8,14,16,49.0,71.0,-22.0,38
14,15,Nott'ham Forest,38,6,14,18,42.0,63.0,-21.0,32
15,16,Everton,38,6,13,19,45.0,65.0,-20.0,31
16,17,Wolves,38,5,14,19,42.0,63.0,-21.0,29
17,18,Fulham,38,6,8,24,38.0,72.0,-34.0,26
18,19,Southampton,38,3,15,20,39.0,71.0,-32.0,24
19,20,Bournemouth,38,3,13,22,39.0,64.0,-25.0,22
